Server Name,Feed Name,Session Name,Channel,Customer,Multicast Group,Switch IP,Interface
ACTANT-DC3-ACT-4-SF1,cme_globex30,"CME Globex Equity Futures, 310",A,Actant Intelligent Trading,224.0.31.1,10.64.254.1,Et15
ACTANT-DC3-ACT-4-SF1,cme_globex30,"CME Globex Equity Options - excludes E-mini S&P 500, 319",A,Actant Intelligent Trading,224.0.31.10,10.64.254.1,Et15
ACTANT-DC3-ACT-4-SF1,cme_globex30,"NYMEX Globex Crude & Crude Refined Futures, 382",A,Actant Intelligent Trading,224.0.31.130,10.64.254.1,Et15
ACTANT-DC3-ACT-4-SF1,cme_globex30,"NYMEX Globex Crude & Crude Refined Options, 383",A,Actant Intelligent Trading,224.0.31.131,10.64.254.1,Et15
ACTANT-DC3-ACT-4-SF1,cme_globex30,"COMEX Globex Futures, 360",A,Actant Intelligent Trading,224.0.31.192,10.64.254.1,Et15
ACTANT-DC3-ACT-4-SF1,cme_globex30,"COMEX Globex Options, 361",A,Actant Intelligent Trading,224.0.31.193,10.64.254.1,Et15
ACTANT-DC3-ACT-4-SF1,cme_globex30,"CME Globex Equity Options, 311",A,Actant Intelligent Trading,224.0.31.2,10.64.254.1,Et15
ACTANT-DC3-ACT-1-SF2,cme_globex30,"CME Globex Interest Rate Futures, 312",A,Actant Intelligent Trading,224.0.31.3,10.64.254.2,Et19
ACTANT-DC3-ACT-1-SF2,cme_globex30,"CME Globex Interest Rate Options, 313",A,Actant Intelligent Trading,224.0.31.4,10.64.254.2,Et19
ACTANT-DC3-ACT-3-SF1,cme_globex30,"CBOT Globex Commodity Futures, 340",A,Actant Intelligent Trading,224.0.31.64,10.64.254.1,Et16
ACTANT-DC3-ACT-3-SF1,cme_globex30,"CBOT Globex Commodity Options, 341",A,Actant Intelligent Trading,224.0.31.65,10.64.254.1,Et16
ACTANT-DC3-ACT-4-SF1,cme_globex30,"CBOT Globex Interest Rate Futures, 344",A,Actant Intelligent Trading,224.0.31.68,10.64.254.1,Et15
ACTANT-DC3-ACT-4-SF1,cme_globex30,"CBOT Globex Interest Rate Options, 345",A,Actant Intelligent Trading,224.0.31.69,10.64.254.1,Et15
ACTANT-DC3-ACT-1-SF2,cme_globex30,"CBOT Globex Interest Rate Options, 345",A,Actant Intelligent Trading,224.0.31.69,10.64.254.2,Et19
ACTANT-DC3-ACT-3-SF1,cme_globex30,"CME Globex Commodity Futures, 316",A,Actant Intelligent Trading,224.0.31.7,10.64.254.1,Et16
ACTANT-DC3-ACT-2-SF1,cme_globex30,"CME Globex Commodity Futures, 316",A,Actant Intelligent Trading,224.0.31.7,10.64.254.1,Et17
ACTANT-DC3-ACT-3-SF1,cme_globex30,"CBOT Globex Commodity Futures II, 346",A,Actant Intelligent Trading,224.0.31.70,10.64.254.1,Et16
ACTANT-DC3-ACT-1-SF2,cme_globex30,"CBOT Globex Interest Rate Futures II, 348",A,Actant Intelligent Trading,224.0.31.71,10.64.254.2,Et19
ACTANT-DC3-ACT-3-SF1,cme_globex30,"CME Globex Commodity Options, 317",A,Actant Intelligent Trading,224.0.31.8,10.64.254.1,Et16
ACTANT-DC3-ACT-2-SF1,cme_globex30,"CME Globex Commodity Options, 317",A,Actant Intelligent Trading,224.0.31.8,10.64.254.1,Et17
ACTANT-DC3-ACT-4-SF1,cme_globex30,"CME Globex Equity Futures - excludes E-mini S&P 500, 318",A,Actant Intelligent Trading,224.0.31.9,10.64.254.1,Et15
ACTANT-DC3-ACT-4-SF1,cme_globex30,"CBOT Globex Interest Rate Options, 345",A,Actant Intelligent Trading,224.0.31.90,10.64.254.1,Et15
ACTANT-DC3-ACT-4-SF1,cme_globex30,"CME Globex Equity Futures, 310",B,Actant Intelligent Trading,224.0.32.1,10.64.254.1,Et15
ACTANT-DC3-ACT-4-SF1,cme_globex30,"CME Globex Equity Options - excludes E-mini S&P 500, 319",B,Actant Intelligent Trading,224.0.32.10,10.64.254.1,Et15
ACTANT-DC3-ACT-4-SF1,cme_globex30,"NYMEX Globex Crude & Crude Refined Futures, 382",B,Actant Intelligent Trading,224.0.32.130,10.64.254.1,Et15
ACTANT-DC3-ACT-4-SF1,cme_globex30,"NYMEX Globex Crude & Crude Refined Options, 383",B,Actant Intelligent Trading,224.0.32.131,10.64.254.1,Et15
ACTANT-DC3-ACT-4-SF1,cme_globex30,"COMEX Globex Futures, 360",B,Actant Intelligent Trading,224.0.32.192,10.64.254.1,Et15
ACTANT-DC3-ACT-4-SF1,cme_globex30,"COMEX Globex Options, 361",B,Actant Intelligent Trading,224.0.32.193,10.64.254.1,Et15
ACTANT-DC3-ACT-4-SF1,cme_globex30,"CME Globex Equity Options, 311",B,Actant Intelligent Trading,224.0.32.2,10.64.254.1,Et15
ACTANT-DC3-ACT-1-SF2,cme_globex30,"CME Globex Interest Rate Futures, 312",B,Actant Intelligent Trading,224.0.32.3,10.64.254.2,Et19
ACTANT-DC3-ACT-1-SF2,cme_globex30,"CME Globex Interest Rate Options, 313",B,Actant Intelligent Trading,224.0.32.4,10.64.254.2,Et19
ACTANT-DC3-ACT-3-SF1,cme_globex30,"CBOT Globex Commodity Futures, 340",B,Actant Intelligent Trading,224.0.32.64,10.64.254.1,Et16
ACTANT-DC3-ACT-3-SF1,cme_globex30,"CBOT Globex Commodity Options, 341",B,Actant Intelligent Trading,224.0.32.65,10.64.254.1,Et16
ACTANT-DC3-ACT-4-SF1,cme_globex30,"CBOT Globex Interest Rate Futures, 344",B,Actant Intelligent Trading,224.0.32.68,10.64.254.1,Et15
ACTANT-DC3-ACT-4-SF1,cme_globex30,"CBOT Globex Interest Rate Options, 345",B,Actant Intelligent Trading,224.0.32.69,10.64.254.1,Et15
ACTANT-DC3-ACT-1-SF2,cme_globex30,"CBOT Globex Interest Rate Options, 345",B,Actant Intelligent Trading,224.0.32.69,10.64.254.2,Et19
ACTANT-DC3-ACT-3-SF1,cme_globex30,"CME Globex Commodity Futures, 316",B,Actant Intelligent Trading,224.0.32.7,10.64.254.1,Et16
ACTANT-DC3-ACT-2-SF1,cme_globex30,"CME Globex Commodity Futures, 316",B,Actant Intelligent Trading,224.0.32.7,10.64.254.1,Et17
ACTANT-DC3-ACT-3-SF1,cme_globex30,"CBOT Globex Commodity Futures II, 346",B,Actant Intelligent Trading,224.0.32.70,10.64.254.1,Et16
ACTANT-DC3-ACT-1-SF2,cme_globex30,"CBOT Globex Interest Rate Futures II, 348",B,Actant Intelligent Trading,224.0.32.71,10.64.254.2,Et19
ACTANT-DC3-ACT-3-SF1,cme_globex30,"CME Globex Commodity Options, 317",B,Actant Intelligent Trading,224.0.32.8,10.64.254.1,Et16
ACTANT-DC3-ACT-2-SF1,cme_globex30,"CME Globex Commodity Options, 317",B,Actant Intelligent Trading,224.0.32.8,10.64.254.1,Et17
ACTANT-DC3-ACT-4-SF1,cme_globex30,"CME Globex Equity Futures - excludes E-mini S&P 500, 318",B,Actant Intelligent Trading,224.0.32.9,10.64.254.1,Et15
ACTANT-DC3-ACT-4-SF1,cme_globex30,"CBOT Globex Interest Rate Options, 345",B,Actant Intelligent Trading,224.0.32.90,10.64.254.1,Et15
ACTANT-DC3-ACT-4-SF2,cboe_csm_standard,Line 7,B,Actant Intelligent Trading,233.103.126.198,10.64.254.2,Et15
ACTANT-DC3-ACT-4-SF2,cboe_csm_strategy,Line 1,B,Actant Intelligent Trading,233.103.126.208,10.64.254.2,Et15
ACTANT-DC3-ACT-4-SF2,cboe_csm_standard,Line 7,A,Actant Intelligent Trading,233.103.126.70,10.64.254.2,Et15
ACTANT-DC3-ACT-4-SF2,cboe_csm_strategy,Line 1,A,Actant Intelligent Trading,233.103.126.80,10.64.254.2,Et15
BUDO-DC3-TT-1-SF2,cme_globex30,"CME Globex Equity Futures, 310",B,"Budo Group, LLC",224.0.32.1,10.64.254.2,Et14
BUDO-DC3-TT-1-SF2,cme_globex30,"CME Globex FX Futures II, 320",B,"Budo Group, LLC",224.0.32.11,10.64.254.2,Et14
BUDO-DC3-TT-1-SF2,cme_globex30,"NYMEX Globex Crude & Crude Refined Futures, 382",B,"Budo Group, LLC",224.0.32.130,10.64.254.2,Et14
BUDO-DC3-TT-1-SF2,cme_globex30,"NYMEX Globex Nat Gas & other Non-Crude Energy Futures, 386",B,"Budo Group, LLC",224.0.32.134,10.64.254.2,Et14
BUDO-DC3-TT-1-SF2,cme_globex30,"COMEX Globex Futures, 360",B,"Budo Group, LLC",224.0.32.192,10.64.254.2,Et14
BUDO-DC3-TT-1-SF2,cme_globex30,"CME Globex Interest Rate Futures, 312",B,"Budo Group, LLC",224.0.32.3,10.64.254.2,Et14
BUDO-DC3-TT-1-SF2,cme_globex30,"CME Globex FX Futures, 314",B,"Budo Group, LLC",224.0.32.5,10.64.254.2,Et14
BUDO-DC3-TT-1-SF2,cme_globex30,"CBOT Globex Commodity Futures, 340",B,"Budo Group, LLC",224.0.32.64,10.64.254.2,Et14
BUDO-DC3-TT-1-SF2,cme_globex30,"CBOT Globex Interest Rate Futures, 344",B,"Budo Group, LLC",224.0.32.68,10.64.254.2,Et14
BUDO-DC3-TT-1-SF2,cme_globex30,"CME Globex Commodity Futures, 316",B,"Budo Group, LLC",224.0.32.7,10.64.254.2,Et14
BUDO-DC3-TT-1-SF2,cme_globex30,"CBOT Globex Commodity Futures II, 346",B,"Budo Group, LLC",224.0.32.70,10.64.254.2,Et14
